inci_name,function_inci,ph_min,ph_max,usage_level_min,usage_level_max
Polysorbate 60,Emulsifying Agent,3.00,10.00,1.000,10.000
Niacinamide,Skin Conditioning,5.00,7.00,0.500,10.000
Hydroxypinacolone Retinoate,Skin Conditioning,5.00,7.00,0.050,0.200
Glyceryl Caprylate,preservative,-1.00,,,
Bakuchiol,"Antioxidant, Skin-Conditioning Agent",,,0.500,1.000
Kaolin,Absorbent,4.50,7.50,1.000,80.000
Dimethylmethoxy Chromanyl Palmitate,skin brightening,,,0.000,
"Trisodium tris[5,6-dihydro-5-(hydroxyimino)-6-oxonaphthalene-2-sulphonate(2-)-N5,O6]ferrate(3-); (Acid Green 1; CI 10020)",Colorant,,,,
Beta-Carotene,"Antioxidant, Colorant, Skin Conditioning",,,0.001,0.100
Bisabolol,Skin-Conditioning Agent,,,0.100,1.000
Undecylenoyl Phenylalanine,Skin Conditioning Agent,,,0.500,2.000
Acacia Senegal Gum,"BINDING, EMULSION STABILIZING, FILM FORMING, SKIN CONDITIONING, VISCOSITY INCREASING AGENT - AQUEOUS",4.00,6.00,0.100,10.000
Silt,Absorbent,,,,
Tapioca Starch,"Absorbent, Bulking Agent, Skin-Conditioning Agent - Miscellaneous, Viscosity Increasing Agent - Aqueous",5.00,7.00,1.000,20.000
o-Aminophenol,Colorant,,,,
"Trisodium 8-hydroxypyrene-1,3,6-trisulphonate (Solvent Green 7; CI 59040) when used as a substance in hair dye products",Colorant,,,,
(20S)-Protopanaxadiol,SKIN CONDITIONING,,,,
(3-Chlorophenyl)-(4-methoxy-3-nitrophenyl)methanone,Colorant,,,,
Acrylates/Octylacrylamide Copolymer,,-1.00,,,
"Distillates (petroleum), acid-treated middle, except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen",,,,0.000,
Turquoise Powder,Colorant,,,,
Xylidines,Colorant,,,,
"Distillates (petroleum), catalytic reformer, heavy arom. conc., except if the full refining history is known and it can be shown that the substance from which it is produced is not a carcinogen",,,,0.000,
Zinc Borosilicate,Colorant,,,,
